Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,1259.829956,1260.369995,1254.290039,1256.949951,1256.949951,160043700
2022-11-22,1255.199951,1267.560059,1253.530029,1266.020020,1266.020020,162628600
2022-11-23,1266.859985,1274.250000,1265.469971,1273.199951,1273.199951,151316300
2022-11-24,1273.229980,1281.660034,1272.660034,1278.560059,1278.560059,182264400
2022-11-25,1278.400024,1282.420044,1276.280029,1279.449951,1279.449951,137274000
2022-11-28,1276.780029,1276.780029,1266.040039,1272.189941,1272.189941,170678500
2022-11-29,1272.560059,1280.510010,1270.849976,1273.329956,1273.329956,171833900
2022-11-30,1273.609985,1287.569946,1273.609985,1286.930054,1286.930054,367098200
2022-12-01,1287.589966,1297.920044,1287.589966,1292.770020,1292.770020,202292800
2022-12-02,1292.040039,1293.790039,1278.640015,1289.729980,1289.729980,193480300
2022-12-05,1289.569946,1289.569946,1280.670044,1281.959961,1281.959961,156556700
2022-12-06,1281.689941,1282.630005,1271.949951,1277.209961,1277.209961,176619000
2022-12-07,1276.530029,1276.530029,1265.569946,1268.599976,1268.599976,178055500
2022-12-08,1270.170044,1270.170044,1269.510010,1269.510010,1269.510010,161437000
2022-12-09,1269.130005,1275.729980,1264.589966,1274.719971,1274.719971,179634500
2022-12-12,1271.619995,1272.989990,1265.599976,1269.150024,1269.150024,149861600
2022-12-13,1269.599976,1303.280029,1269.599976,1289.300049,1289.300049,201073200
2022-12-14,1288.989990,1288.989990,1280.489990,1285.979980,1285.979980,182329900
2022-12-15,1283.739990,1283.739990,1246.140015,1248.650024,1248.650024,234313400
2022-12-16,1247.890015,1247.890015,1228.619995,1234.589966,1234.589966,430393900
2022-12-19,1235.270020,1245.810059,1235.270020,1238.089966,1238.089966,160017500
2022-12-20,1235.630005,1237.180054,1222.660034,1233.109985,1233.109985,175110900
2022-12-21,1234.180054,1256.699951,1234.180054,1255.859985,1255.859985,168534900
2022-12-22,1256.089966,1263.349976,1241.849976,1243.810059,1243.810059,136766600
2022-12-23,1244.150024,1247.170044,1236.510010,1241.780029,1241.780029,100239700
2022-12-27,1244.369995,1254.520020,1244.369995,1247.719971,1247.719971,78773300
2022-12-28,1247.949951,1250.959961,1238.109985,1238.530029,1238.530029,102225000
2022-12-29,1238.030029,1251.170044,1232.709961,1250.300049,1250.300049,97726600
2022-12-30,1249.839966,1249.839966,1230.780029,1231.599976,1231.599976,100019400
2023-01-02,1232.619995,1252.880005,1232.619995,1252.020020,1252.020020,0
2023-01-03,1251.979980,1272.939941,1251.449951,1257.359985,1257.359985,172781700
2023-01-04,1257.689941,1279.670044,1257.689941,1279.099976,1279.099976,217367800
2023-01-05,1278.390015,1281.300049,1272.859985,1275.729980,1275.729980,178555500
2023-01-06,1275.890015,1294.349976,1275.060059,1294.310059,1294.310059,153096200
2023-01-09,1294.390015,1311.260010,1294.390015,1307.859985,1307.859985,174935800
2023-01-10,1306.500000,1306.500000,1296.569946,1300.119995,1300.119995,149366100
2023-01-11,1300.270020,1313.810059,1300.270020,1310.349976,1310.349976,175927700
2023-01-12,1311.109985,1325.189941,1311.109985,1318.530029,1318.530029,198905000
2023-01-13,1319.699951,1329.810059,1319.599976,1326.900024,1326.900024,171242100
2023-01-16,1327.760010,1330.290039,1324.800049,1328.819946,1328.819946,122877500
2023-01-17,1328.579956,1339.229980,1322.890015,1335.079956,1335.079956,186794900
2023-01-18,1332.849976,1334.939941,1332.849976,1334.939941,1334.939941,176241000
2023-01-19,1330.619995,1330.619995,1309.640015,1310.599976,1310.599976,188981000
2023-01-20,1311.819946,1320.910034,1311.819946,1318.010010,1318.010010,165099000
2023-01-23,1317.939941,1330.560059,1317.939941,1328.430054,1328.430054,122954700
2023-01-24,1328.550049,1333.280029,1321.420044,1328.060059,1328.060059,149846500
2023-01-25,1328.099976,1329.910034,1315.750000,1323.300049,1323.300049,157978700
2023-01-26,1324.640015,1336.469971,1324.640015,1332.270020,1332.270020,160287200
2023-01-27,1332.949951,1336.290039,1327.829956,1334.510010,1334.510010,159670000
2023-01-30,1333.750000,1333.750000,1317.170044,1327.189941,1327.189941,156472200
2023-01-31,1327.020020,1327.369995,1327.020020,1327.369995,1327.369995,194880300
2023-02-01,1327.979980,1334.060059,1324.099976,1327.869995,1327.869995,166571000
2023-02-02,1328.569946,1346.750000,1328.569946,1343.859985,1343.859985,240351200
2023-02-03,1343.689941,1356.040039,1336.959961,1356.040039,1356.040039,213436400
2023-02-06,1355.050049,1355.050049,1332.180054,1337.709961,1337.709961,157860900
2023-02-07,1337.910034,1340.729980,1332.569946,1337.089966,1337.089966,165781800
2023-02-08,1339.500000,1351.530029,1336.369995,1336.459961,1336.459961,190303900
2023-02-09,1337.619995,1356.569946,1337.619995,1349.630005,1349.630005,211049600
2023-02-10,1349.430054,1349.430054,1330.780029,1340.390015,1340.390015,200751400
2023-02-13,1340.660034,1355.739990,1340.660034,1354.910034,1354.910034,156289200
2023-02-14,1354.920044,1366.030029,1351.569946,1354.569946,1354.569946,186335800
2023-02-15,1354.459961,1369.209961,1351.670044,1367.939941,1367.939941,167293500
2023-02-16,1369.489990,1380.219971,1366.920044,1375.099976,1375.099976,194379400
2023-02-17,1374.000000,1374.000000,1355.189941,1366.910034,1366.910034,196491900
2023-02-20,1367.560059,1369.540039,1361.859985,1365.300049,1365.300049,113027600
2023-02-21,1365.069946,1365.069946,1346.989990,1358.189941,1358.189941,157509400
2023-02-22,1357.369995,1357.800049,1344.839966,1355.189941,1355.189941,182035700
2023-02-23,1355.520020,1365.880005,1355.520020,1358.050049,1358.050049,178169900
2023-02-24,1358.890015,1365.349976,1336.640015,1336.640015,1336.640015,198689900
2023-02-27,1338.949951,1361.020020,1338.949951,1355.469971,1355.469971,156144400
2023-02-28,1354.910034,1358.550049,1348.280029,1349.619995,1349.619995,244237300
2023-03-01,1351.920044,1360.939941,1341.869995,1344.020020,1344.020020,178336700
2023-03-02,1342.270020,1354.770020,1333.579956,1354.510010,1354.510010,169919400
2023-03-03,1356.329956,1367.089966,1356.329956,1365.250000,1365.250000,163353000
2023-03-06,1365.829956,1372.819946,1363.449951,1367.270020,1367.270020,146665700
